CustomerID,Gender,Age,Age group,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Work Level,No. of Family ,Familysize 
1,Male,19,Teenager,"$15,000 ",39,Healthcare,1,Entry Level,4,Mid Size
2,Male,21,Teenager,"$35,000 ",81,Engineer,3,Entry Level,3,small Size
3,Female,20,Teenager,"$86,000 ",6,Engineer,1,Entry Level,1,small Size
4,Female,23,Teenager,"$59,000 ",77,Lawyer,0,Entry Level,2,small Size
5,Female,31,Adult,"$38,000 ",40,Entertainment,2,Entry Level,6,Mid Size
6,Female,22,Teenager,"$58,000 ",76,Artist,0,Entry Level,2,small Size
7,Female,35,Adult,"$31,000 ",6,Healthcare,1,Entry Level,3,small Size
8,Female,23,Teenager,"$84,000 ",94,Healthcare,1,Entry Level,3,small Size
9,Male,64,Senior,"$97,000 ",3,Engineer,0,Entry Level,3,small Size
10,Female,30,Adult,"$98,000 ",72,Artist,1,Entry Level,4,Mid Size
11,Male,67,Senior,"$7,000 ",14,Engineer,1,Entry Level,3,small Size
12,Female,35,Adult,"$93,000 ",99,Healthcare,4,Entry Level,4,Mid Size
13,Female,58,Senior,"$80,000 ",15,Executive,0,Entry Level,5,Mid Size
14,Female,24,Teenager,"$91,000 ",77,Lawyer,1,Entry Level,1,small Size
15,Male,37,Adult,"$19,000 ",13,Doctor,0,Entry Level,1,small Size
16,Male,22,Teenager,"$51,000 ",79,Healthcare,1,Entry Level,2,small Size
17,Female,35,Adult,"$29,000 ",35,Homemaker,9,Mid Level,5,Mid Size
18,Male,20,Teenager,"$89,000 ",66,Healthcare,1,Entry Level,6,Mid Size
19,Male,52,Senior,"$20,000 ",29,Entertainment,1,Entry Level,4,Mid Size
20,Female,35,Adult,"$62,000 ",98,Artist,0,Entry Level,1,small Size
21,Male,35,Adult,"$96,000 ",35,Homemaker,12,Senior Level,1,small Size
22,Male,25,Teenager,"$4,000 ",73,Healthcare,3,Entry Level,4,Mid Size
23,Female,46,Adult,"$42,000 ",5,Artist,13,Senior Level,2,small Size
24,Male,31,Adult,"$71,000 ",73,Artist,5,Mid Level,2,small Size
25,Female,54,Senior,"$67,000 ",14,Executive,1,Entry Level,3,small Size
26,Male,29,Teenager,"$52,000 ",82,Artist,1,Entry Level,3,small Size
27,Female,45,Adult,"$68,000 ",32,Healthcare,9,Mid Level,8,Large size
28,Male,35,Adult,"$78,000 ",61,Artist,1,Entry Level,3,small Size
29,Female,40,Adult,"$18,000 ",31,Artist,0,Entry Level,1,small Size
30,Female,23,Teenager,"$20,000 ",87,Artist,5,Mid Level,4,Mid Size
31,Male,60,Senior,"$39,000 ",4,Artist,0,Entry Level,3,small Size
32,Female,21,Teenager,"$34,000 ",73,Doctor,1,Entry Level,2,small Size
33,Male,53,Senior,"$59,000 ",4,Healthcare,1,Entry Level,3,small Size
34,Male,18,Teenager,"$62,000 ",92,Homemaker,9,Mid Level,7,Large size
35,Female,49,Adult,"$91,000 ",14,Lawyer,1,Entry Level,2,small Size
36,Female,21,Teenager,"$95,000 ",81,Healthcare,3,Entry Level,4,Mid Size
37,Female,42,Adult,"$14,000 ",17,Doctor,5,Mid Level,1,small Size
38,Female,30,Adult,"$62,000 ",73,Healthcare,1,Entry Level,5,Mid Size
39,Female,36,Adult,"$9,000 ",26,Artist,8,Mid Level,2,small Size
40,Female,20,Teenager,"$69,000 ",75,Artist,8,Mid Level,2,small Size
41,Female,65,Senior,"$25,000 ",35,Artist,4,Entry Level,1,small Size
42,Male,24,Teenager,"$85,000 ",92,Healthcare,0,Entry Level,2,small Size
43,Male,48,Adult,"$22,000 ",36,Artist,14,Senior Level,3,small Size
44,Female,31,Adult,"$33,000 ",61,Artist,1,Entry Level,2,small Size
45,Female,49,Adult,"$72,000 ",28,Engineer,8,Mid Level,1,small Size
46,Female,24,Teenager,"$3,000 ",65,Lawyer,4,Entry Level,2,small Size
47,Female,50,Adult,"$52,000 ",55,Artist,0,Entry Level,4,Mid Size
48,Female,27,Teenager,"$71,000 ",47,Healthcare,12,Senior Level,1,small Size
